Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Семенченко,Ада,Богданівна,Жінка,1971-02-26,Стиліст,хутір Сіверськодонецьк,"вулиця Марсельська, буд. 15 кв. 70, Любомль, 13865",+380 (24) 712-57-15,martamakarenko@example.net
Ярош,Богуслава,Іванівна,Жінка,1968-01-28,Ріелтор,місто Покров,"парк Різовська, буд. 589, Камінь-Каширський, 26219",+380 88 974-59-75,maksym88@example.com
Сацюк,Роксолана,Євгенівна,Жінка,1984-10-24,Ботанік,хутір Погребище,"набережна Бахчева, буд. 553 кв. 40, Арциз, 60198",041 814 13 91,aaronkolesnychenko@example.com
Власюк,Орина,Тимофіївна,Жінка,1999-04-29,Історик,село Шепетівка,"шосе Рекордний, буд. 27 кв. 4, Сарни, 13594",149 11 97,afurs@example.net
Їжакевич,Надія,Юріївна,Жінка,1942-02-12,Золотар,хутір Світлодарськ,"узвіз Географічний, буд. 4 кв. 57, Христинівка, 18261",015 339 12 85,shvachkaiarema@example.com
Романчук,Наталія,Сергіївна,Жінка,1980-09-02,Єгер,селище Чорноморськ,"площа Матроський, буд. 0, Лубни, 83746",049 463 54 71,ihor35@example.org
Бандурка,Богданна,Степанівна,Жінка,1987-12-05,Детектив,село Роздільна,"набережна Георгія Гамова, буд. 62 кв. 470, Іллінці, 20954",055 332-87-55,skybapriska@example.net
Оніщук,Ліза,Степанівна,Жінка,2004-01-29,Електромонтер,місто Українка,"сквер Керченський 1-й, буд. 42 кв. 48, Нововолинськ, 92723",+380 (95) 455-78-63,derkachmyron@example.com
Проценко,Олена,Сергіївна,Жінка,1988-05-20,Медик,селище Городок,"набережна М’ясоєдовська, буд. 27, Моспине, 05456",+380 78 135-80-26,ssirko@example.org
Чайка,Марʼяна,Арсеніївна,Жінка,1996-11-11,Музичний редактор,село Трускавець,"шосе Лінія 51-ша, буд. 4, Севастополь, 11254",+380 18 838-11-54,avreliirudko@example.com
Ісаєвич,Ярина,Олексіївна,Жінка,1945-12-01,Гірничий інженер,хутір Зборів,"сквер Картамишевська, буд. 7, Ізяслав, 73789",262-33-49,szhuchenko@example.com
Франчук,Соломія,Миколаївна,Жінка,2003-10-30,Геолог,місто Токмак,"шосе Черешнева, буд. 08, Макіївка, 32076",+380 98 919-61-85,huzenkopetro@example.net
Непорожній,Альбіна,Олексіївна,Жінка,1944-08-07,Програміст,хутір Чорноморськ,"проспект Каменярів, буд. 802 кв. 78, Соледар, 05125",+380 42 855-38-49,maksym45@example.net
Пустовіт,Василина,Іванівна,Жінка,1939-06-13,Локсмайстер,місто Севастополь,"вулиця Крайня, буд. 2, Славутич, 90795",006 985 95 16,maryna65@example.com
Баранник,Роксолана,Максимівна,Жінка,1970-09-27,Етнограф,селище Сіверськодонецьк,"набережна Майстерний, буд. 0 кв. 6, Сімферополь, 69358",059 75 87,rozaliia57@example.net
Дахно,Ганна,Арсеніївна,Жінка,1961-03-08,Краєзнавець,селище Мена,"вулиця Спаський, буд. 93, Новогродівка, 88610",066 201-50-59,nstus@example.com
Вертипорох,Віра,Олександрівна,Жінка,1957-04-27,Астронавт,село Здолбунів,"вулиця Висока, буд. 88, Гірник, 11161",290 00 09,iosyp70@example.com
Яременко,Лариса,Іванівна,Жінка,1945-11-04,Євнух,селище Погребище,"площа Гаванна, буд. 86 кв. 4, Берислав, 82052",962-67-52,zderiazhnyi@example.net
Зінкевич,Ярина,Павлівна,Жінка,1945-08-04,Ботанік,село Керч,"шосе Карпатська, буд. 55, Іршава, 64167",075-87-94,liubovtsiutsiura@example.org
Дашкевич,Олена,Богданівна,Жінка,1942-08-20,Акушер,селище Монастириська,"проспект Лірний, буд. 7, Шумськ, 18642",048 100-54-90,ydzhus@example.org
Шахрай,Богуслава,Павлівна,Жінка,2007-05-10,Електромонтер,село Заліщики,"набережна Політкаторжан, буд. 47, Славута, 41472",+380 31 971 44 91,alemeshko@example.com
Андрійчук,Віра,Андріївна,Жінка,1943-04-28,Сантехнік,хутір Саки,"площа Чернігівський, буд. 6, Лисичанськ, 22882",+380 (41) 042-08-83,stefanbabenko@example.net
Шаповал,Соломія,Олександрівна,Жінка,1944-06-03,Стропальник,хутір Великі Мости,"набережна Панаса Мирного, буд. 91, Переяслав, 76996",051 654-83-24,sviatoslav64@example.net
Туркало,Марта,Олександрівна,Жінка,2005-07-04,Маркетолог,хутір Комарно,"парк Академіка Сахарова, буд. 92 кв. 2, Копичинці, 74724",253 34 16,pkadeniuk@example.net
Фоменко,Галина,Василівна,Жінка,2006-12-26,Біолог,хутір Бориспіль,"вулиця Заводська 4-та, буд. 465 кв. 353, Горлівка, 70968",003 976-30-99,haronets@example.net
Ващенко,Лілія,Романівна,Жінка,1946-05-23,Кіноактор,селище Рубіжне,"парк Менделе Сфоріма, буд. 12 кв. 9, Горохів, 43261",895-75-70,ruslan88@example.org
Ємельяненко,Ганна,Максимівна,Жінка,1973-02-11,Євнух,селище Бобринець,"парк Водопровідний 3-й, буд. 1 кв. 9, Новоселиця, 17838",270-89-15,eshtokalo@example.com
Дрозд,Соломія,Андріївна,Жінка,1975-09-24,Круп'є,хутір Київ,"набережна Ватманський, буд. 63 кв. 901, Кременчук, 82206",+380 (56) 049-16-03,siurchenko@example.com
Шухевич,Амалія,Григорівна,Жінка,1974-02-17,Електротехнік,селище Конотоп,"набережна Ліверпульський, буд. 9 кв. 916, Ланівці, 87747",057 934-49-57,makar45@example.net
Чуйко,Тетяна,Максимівна,Жінка,1940-05-23,Клавішник,селище Вугледар,"парк Середньофонтанська, буд. 07 кв. 3, Луганськ, 67256",+380 82 922 31 57,tymofiiavramchuk@example.com
Чабан,Камілла,Степанівна,Жінка,1953-03-29,Стиліст,місто Новояворівськ,"провулок Діхтієвського Віктора, буд. 05 кв. 145, Новогродівка, 09317",211-56-98,xmykytiuk@example.com
Шиян,Юстина,Петрівна,Жінка,1946-01-11,Намотувальник,село Черкаси,"вулиця Проїзний 1-й, буд. 0 кв. 3, Моршин, 36653",+380 (95) 382-34-66,ldubenko@example.net
Дутка,Орися,Арсеніївна,Жінка,1944-06-28,Ріелтор,селище Чернівці,"сквер Запорізька, буд. 957, Івано-Франківськ, 91785",+380 (27) 790-88-31,boleslavzinchuk@example.net
Чекалюк,Маруся,Олександрівна,Жінка,1973-10-15,Історик,місто Багачеве,"парк Восьмого березня 1-й, буд. 78, Валки, 91248",042 306 71 93,iakiv80@example.net
Бандурка,Марина,Андріївна,Жінка,1974-09-17,Юрист,хутір Перемишляни,"провулок Кавказька, буд. 07, Деражня, 72668",+380 87 463-01-02,chabanmykyta@example.com
Ісаєвич,Василина,Степанівна,Жінка,1998-12-25,Фотограф,хутір Старобільськ,"сквер Творча, буд. 01 кв. 6, Глиняни, 45762",231 97 70,oksanafilipenko@example.org
Даниленко,Оксенія,Сергіївна,Жінка,1954-01-02,Зоолог,місто Сокаль,"сквер Шилова, буд. 54 кв. 3, Кобеляки, 96386",078 803-03-57,ielysavetaholoborodko@example.org
Хоменко,Марія,Петрівна,Жінка,1971-06-24,Пекар,селище Ічня,"узвіз Восьмого березня 6-й, буд. 00 кв. 2, Молочанськ, 80096",+380 (39) 279-29-08,solomon28@example.org
Артеменко,Єлисавета,Іванівна,Жінка,1988-06-14,Музичний редактор,селище Бахмач,"вулиця Юрія Асєєва, буд. 07 кв. 92, Вуглегірськ, 96567",473-31-46,lesilienko@example.net
Зарудна,Соломія,Павлівна,Жінка,1958-01-05,Секретар,хутір Алчевськ,"сквер Михайла Врубеля, буд. 1, Горохів, 23982",+380 65 270-91-14,ilienkohlib@example.org
Андрейко,Єва,Петрівна,Жінка,2008-02-12,Фольклорист,місто Шостка,"провулок Басейний 6-й, буд. 532, Шептицький, 27494",+380 (24) 786-23-12,edatsenko@example.net
Верменич,Аніта,Олександрівна,Жінка,1986-05-14,Дизайнер,селище Ясинувата,"парк Київське, буд. 893, Сокологірськ, 51813",112 36 67,borysbabiichuk@example.net
Гоголь,Лариса,Олександрівна,Жінка,1956-02-17,Пілот,село Ромни,"площа Лінія 30-та, буд. 281, Рені, 38593",+380 (65) 186-81-19,levko24@example.net
Вобла,Анастасія,Григорівна,Жінка,2004-08-04,Математик,селище Погребище,"проспект Сливовий, буд. 246, Горлівка, 10993",+380 89 660-02-34,hennadiikolisnychenko@example.com
Романенко,Маруся,Романівна,Жінка,1988-01-03,Письменник,селище Луганськ,"сквер Закарпатська, буд. 883, Донецьк, 77897",073 422-56-53,tryhubkhoma@example.net
Худяк,Світлана,Романівна,Жінка,2003-11-21,Епідеміолог,село Шпола,"шосе Соляний 2-й, буд. 55, Лутугине, 70683",+380 47 816-01-98,ovashchuk@example.net
Артимович,Ярина,Павлівна,Жінка,1988-07-08,Стропальник,місто Коростень,"шосе Пересипська 5-та, буд. 129, Інкерман, 97972",019 250 62 82,rostyslav31@example.net
Свириденко,Олена,Максимівна,Жінка,2007-07-15,Круп'є,селище Березань,"проспект Десантний, буд. 8 кв. 510, Устилуг, 52762",499-51-90,varvara05@example.org
Бабариченко,Клавдія,Володимирівна,Жінка,1945-08-30,Музикознавець,село Глухів,"набережна Краснослобідський, буд. 02, Золочів, 84367",105-57-05,daryna01@example.org
Перебийніс,Володимира,Григорівна,Жінка,1983-07-08,Бухгалтер,хутір Кобеляки,"вулиця Гілельса, буд. 731, Гайсин, 51848",+380 20 607-70-34,nazarchumachenko@example.net
Єрьоменко,Розалія,Андріївна,Жінка,1986-08-23,Візажист,місто Дебальцеве,"сквер Клинова, буд. 728, Калинівка, 09609",017 914 30 61,mzakusylo@example.org
Гаврилюк,Надія,Юріївна,Жінка,1973-06-16,Архітектор,селище Гребінка,"вулиця Соборна, буд. 230 кв. 82, Армянськ, 41549",090 325-99-64,anestaiko@example.org
Дейнека,Марʼяна,Володимирівна,Жінка,1960-02-26,Машиніст,хутір Вуглегірськ,"провулок Котляревського, буд. 124 кв. 445, Щастя, 61082",050 744-40-87,vvakulenko@example.org
Деряжна,Марина,Тимофіївна,Жінка,1992-04-20,Художник,селище Березівка,"проспект Гранатна, буд. 307 кв. 5, Устилуг, 21365",+380 30 901-96-90,iryna29@example.org
Михайличенко,Орися,Володимирівна,Жінка,1994-01-01,Гірничий інженер,місто Кам'янка (Черкаська область),"парк Владислава Домбровського, буд. 557, Хмельницький, 10162",+380 33 601-26-15,romanetsbohdanna@example.org
Юрчук,Марина,Арсеніївна,Жінка,1970-10-15,Реабілітолог,село Зміїв,"сквер Уральська, буд. 5 кв. 086, Привілля, 56471",619-35-18,zdubas@example.net
Чміль,Віра,Андріївна,Жінка,1974-05-05,Фармацевт,селище Вільнянськ,"парк Андреєвського, буд. 8, Середина-Буда, 82380",013 940-25-68,ishchakada@example.com
Удовенко,Богданна,Володимирівна,Жінка,1993-02-13,Детектив,місто Коломия,"провулок Мерло, буд. 541, Татарбунари, 02891",061 280-99-00,hryhorii98@example.com
Акименко,Віолетта,Олександрівна,Жінка,1999-04-18,Візажист,хутір Боково-Хрустальне,"шосе Виноградний, буд. 4, Бершадь, 55469",209 89 11,gbabiichuk@example.net
Ґоляш,Соломія,Григорівна,Жінка,1995-11-04,Адвокат,місто Харків,"парк Кордонна, буд. 883 кв. 0, Очаків, 22694",+380 64 604 40 65,qriabovil@example.com
Деревʼянко,Аніта,Петрівна,Жінка,1947-06-20,Архітектор,місто Глухів,"проспект Станційна 2-га, буд. 98 кв. 05, Косів, 22368",856-05-66,kostiantynvelychko@example.net
Рябець,Анжела,Олексіївна,Жінка,1988-06-01,Художник,хутір Мукачево,"парк Краснова, буд. 677 кв. 4, Рогатин, 48941",006 888-26-55,redkoielysei@example.org
Гузій,Софія,Петрівна,Жінка,1998-08-09,Мінералог,місто Гірське,"площа Аеропортівський 3-й, буд. 76 кв. 42, Мар'їнка, 41447",066 078 13 41,zzhalilo@example.com
Атрощенко,Софія,Андріївна,Жінка,1984-12-07,Електрослюсар,селище Дергачі,"парк Олександра Мурашка, буд. 30, Борзна, 39571",+380 69 119-71-30,ohavrylyshyn@example.com
Яценко,Марта,Павлівна,Жінка,1950-06-30,Стоматолог,хутір Новояворівськ,"вулиця Майка Йогансена, буд. 54 кв. 76, Горохів, 80975",+380 85 140-67-02,bakumenkoveniiamyn@example.net
Батіг,Данна,Миколаївна,Жінка,2007-04-03,Модельєр,місто Привілля,"шосе Одеса-Головна, буд. 848, Джанкой, 53626",470 43 14,baranmykyta@example.org
Козаченко,Роксолана,Миколаївна,Жінка,1958-07-28,Ветеринар,хутір Ямпіль,"площа 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 530, Хирів, 04873",+380 82 032-33-66,viktoriia59@example.org
Удовенко,Орися,Юріївна,Жінка,1972-11-21,Візажист,хутір Красногорівка,"узвіз Яблунева, буд. 250, Дубровиця, 41190",034 727 64 61,turkalomaksym@example.org
Гузенко,Мілена,Петрівна,Жінка,2004-12-19,Прокурор,хутір Підгородне,"шосе Ганни Ахматової, буд. 8 кв. 5, Вільногірськ, 75302",158 66 40,kyrylochalenko@example.com
Луценко,Емілія,Степанівна,Жінка,1965-06-26,Кіноактор,хутір Жашків,"шосе Наявний 5-й, буд. 7 кв. 46, Вугледар, 11351",048 569 41 45,idzhun@example.org
Андрощук,Богданна,Максимівна,Жінка,1968-09-04,Вчитель,село Лутугине,"провулок Мала Садова, буд. 18 кв. 14, Вашківці, 54850",+380 23 457 60 53,cmykhailiuk@example.com
Щербак,Роксолана,Максимівна,Жінка,1950-04-30,Музикант,хутір Берестин,"парк Трибуни героїв, буд. 53 кв. 02, Белз, 35948",+380 24 232-02-71,tytarenkorozaliia@example.net
Алексійчук,Ірена,Богданівна,Жінка,1962-05-06,Дизайнер,село Кам'янка-Дніпровська,"проспект Новоселів, буд. 7 кв. 59, Новодружеськ, 38729",726 11 14,kovaliukteodor@example.com
Ребрик,Галина,Дмитрівна,Жінка,1976-03-28,Мікробіолог,місто Ромни,"провулок Лінія 36-та, буд. 62 кв. 125, Бердичів, 70283",027 725-84-28,xtelizhenko@example.com
Лукаш,Єлисавета,Арсеніївна,Жінка,2003-01-30,Кіноактор,хутір Здолбунів,"площа Волинський, буд. 8 кв. 188, Бориспіль, 76605",+380 91 040 63 20,mzabila@example.com
Тесленко,Ольга,Юріївна,Жінка,1993-02-12,Дерун,місто Миколаївка,"вулиця Йосипа Тимченка, буд. 5 кв. 361, Хотин, 67238",007 146 56 73,mykolaihaidabura@example.net
Аврамчук,Одарка,Олександрівна,Жінка,1961-01-17,Дипломат,місто Бучач,"набережна Купріна, буд. 20 кв. 765, Бучач, 32946",931-68-99,marynadarahan@example.com
Самойленко,Емілія,Андріївна,Жінка,1964-06-16,Фотограф,хутір Люботин,"парк Виноградний, буд. 34, Комарно, 05724",085 845-22-71,marusiavermenych@example.org
Базавлученко,Христина,Богданівна,Жінка,1959-06-13,Дизайнер,село Хутір-Михайлівський,"узвіз Любомира Гузара, буд. 050 кв. 425, Решетилівка, 93952",001 395 69 18,danylchukvioletta@example.net
Овсієнко,Світлана,Андріївна,Жінка,1944-03-23,Фермер,селище Білицьке,"площа 11-та Лінія Марії Демченко, буд. 665 кв. 4, Підгайці, 50776",032 265 98 92,petrousyk@example.net
Цимбал,Тетяна,Дмитрівна,Жінка,2008-11-02,Хореограф,село Верхньодніпровськ,"площа 1-й Академічний тупик, буд. 05, Перемишляни, 80323",038 301 93 66,iefrem85@example.com
Жадан,Михайлина,Богданівна,Жінка,1971-07-05,Кінорежисер,село Золоте,"набережна Чорноморський 4-й, буд. 80, Путивль, 48360",880-50-28,qoberemko@example.org
Бандурка,Аліна,Миколаївна,Жінка,2000-11-06,Ветеринар,селище Дубровиця,"провулок Друга, буд. 73 кв. 4, Могилів-Подільський, 62011",+380 (38) 764-93-96,mariialysenko@example.net
Девдюк,Оксана,Романівна,Жінка,1956-03-11,Різноробочий,хутір Прилуки,"вулиця Флотський 2-й, буд. 0, Камінь-Каширський, 50676",524 23 88,viktoriiahuzenko@example.com
Євдокименко,Віолетта,Василівна,Жінка,1976-07-25,Дантист,місто Мостиська,"проспект Чорноморка, буд. 41 кв. 4, Шахтарське, 29818",+380 95 306-94-42,petro16@example.net
Вітрук,Василина,Сергіївна,Жінка,1962-05-17,Гінеколог,село Конотоп,"площа Кутова, буд. 3, Старобільськ, 35203",107-22-01,iaroslav15@example.com
Чайка,Марія,Тимофіївна,Жінка,1967-06-27,Музикант,село Жовква,"узвіз Охтирський, буд. 524 кв. 651, Новодружеськ, 64467",+380 28 763 14 40,averchenkofedir@example.org
Ватаманюк,Оксана,Романівна,Жінка,1957-03-20,Локсмайстер,місто Тростянець,"провулок Туристська, буд. 50, Хмельницький, 30318",442-47-34,czabarnyi@example.org
Гречаник,Пріска,Сергіївна,Жінка,2003-05-18,Кінолог,село Вільнянськ,"парк Єврейська, буд. 297 кв. 59, Снятин, 88880",517 62 60,okhrimoliinyk@example.net
Їжакевич,Камілла,Андріївна,Жінка,1971-01-09,Бібліограф,селище Нова Каховка,"шосе 13-та ст. Великого Фонтану пляж, буд. 719, Вишневе, 15231",+380 59 360-93-62,kadeniukemiliia@example.org
Александренко,Едита,Григорівна,Жінка,1977-03-29,Державний службовець,хутір Кобеляки,"сквер Монгольська, буд. 3 кв. 2, Нова Каховка, 50853",+380 (13) 018-10-62,arkhymovychihor@example.org
Редько,Емілія,Василівна,Жінка,2004-06-19,Випробувач,місто Дубровиця,"шосе Проточний, буд. 0, Бровари, 06714",000 278-06-23,avramchukoleh@example.org
Вдовенко,Марʼяна,Романівна,Жінка,1977-04-20,Кінолог,місто Тараща,"вулиця Кедровий, буд. 967, Верхівцеве, 36076",036 978-62-39,leopold31@example.com
Жайворон,Світлана,Сергіївна,Жінка,1961-06-01,Євнух,хутір Володимир-Волинський,"вулиця Всеволода Змієнка, буд. 187 кв. 9, Щастя, 70345",+380 (35) 174-35-36,varfolomiiriabchenko@example.org
Гайдабура,Єлисавета,Арсеніївна,Жінка,1974-01-10,Менеджер,місто Київ,"проспект Василя Кандинського 4-й, буд. 08, Ровеньки, 71759",021 525 58 72,irynahrytsenko@example.net
Гаврилюк,Олена,Олександрівна,Жінка,1982-06-21,Дипломат,селище Зоринськ,"узвіз Горбиста, буд. 4, Хирів, 51070",080 834-07-90,varfolomiidemydenko@example.net
Калениченко,Розалія,Дмитрівна,Жінка,1948-08-13,Патологоанатом,село Суходільськ,"набережна Соляний 1-й, буд. 614 кв. 252, Лебедин, 29794",791 28 08,mykhaliukerika@example.net
Павлик,Марія,Богданівна,Жінка,1943-05-26,Астроном,місто Дніпро,"проспект Давида Ойстраха, буд. 576, Барвінкове, 07992",+380 69 518-80-95,izhakpanteleimon@example.net
Александренко,Лілія,Іванівна,Жінка,1982-07-20,Клоун,село Липовець,"провулок Палубний, буд. 2 кв. 01, Острог, 15787",+380 74 365 40 14,jhuzenko@example.net
Гаврилишин,Дарина,Арсеніївна,Жінка,1977-08-14,Слідчий,село Добропілля,"вулиця Ашгабатська, буд. 3, Сторожинець, 99320",+380 (02) 163-17-92,kadeniukrostyslav@example.org
Яценко,Христина,Григорівна,Жінка,1943-02-20,Хімік,селище Богуслав,"узвіз Миколи Бурачека, буд. 62 кв. 2, Таврійськ, 05352",988 32 45,solomon52@example.net
Оберемко,Альбіна,Арсеніївна,Жінка,1970-05-20,Гицель,селище Нова Одеса,"сквер Балтський 6-й, буд. 49, Арциз, 16074",+380 76 172 42 32,zkalchenko@example.org
Євдокименко,Валентина,Павлівна,Жінка,1940-04-27,Громадський діяч,хутір Білогірськ,"узвіз Миколи Огренича, буд. 92, Бахчисарай, 37246",+380 27 506-88-73,lukian66@example.org
Вітер,Варвара,Максимівна,Жінка,2006-09-22,Парфюмер,село Лисичанськ,"вулиця Кондрашина, буд. 04, Херсон, 25822",678-91-00,maksymzaporozhets@example.org
Атаманюк,Варвара,Миколаївна,Жінка,1995-06-28,Електрослюсар,селище Петрово-Красносілля,"провулок Вернидуба, буд. 349 кв. 9, Бердянськ, 74790",053 186-00-95,kalenychenkookhrim@example.net
Захаренко,Анастасія,Петрівна,Жінка,1982-05-10,Кінокритик,село Іловайськ,"проспект Радіальний, буд. 327 кв. 92, Березне, 23439",+380 91 762-72-06,viacheslavmazepa@example.net
Стельмах,Світлана,Олександрівна,Жінка,1955-11-03,Флорист,місто Новий Розділ,"парк Восьмого березня 6-й, буд. 50, Ржищів, 73457",+380 78 102-05-11,tprykhodko@example.org
Перепелиця,Алла,Володимирівна,Жінка,1975-08-24,Композитор,місто Вижниця,"площа Лінія 33-тя, буд. 2, Здолбунів, 69020",+380 68 959-23-68,ostap34@example.com
Ященко,Ярослава,Тимофіївна,Жінка,1953-10-13,Візажист,хутір Ізюм,"сквер Лазурний 2-й, буд. 2 кв. 8, Надвірна, 82994",090 109 93 58,liudmylavashchenko-zakharchenko@example.com
Петрик,Марʼяна,Юріївна,Жінка,1998-09-10,Географ,місто Сімферополь,"сквер Виноградна 1-ша, буд. 211, Ковель, 79276",243 29 71,bohuslavahavriushenko@example.com
Кащенко,Володимира,Олександрівна,Жінка,1976-10-15,Піаніст,селище Голубівка,"провулок Хвойний, буд. 75, Новодружеськ, 42111",+380 78 171-46-04,iustym79@example.com
Проценко,Оксенія,Андріївна,Жінка,1986-06-20,Скульптор,село Яремче,"узвіз Трибуни героїв, буд. 653, Нетішин, 61078",+380 66 015-72-02,khodunok@example.net
Артюшенко,Оксенія,Григорівна,Жінка,2003-10-26,Візажист,село Сміла,"площа Спортивний, буд. 64 кв. 0, Гайворон, 29325",+380 96 038 76 45,iukhym95@example.org
Цимбалюк,Роксолана,Володимирівна,Жінка,1960-04-02,Електрослюсар,селище Ізяслав,"проспект Локомотивна, буд. 72 кв. 07, Вишневе, 04112",083 193 70 30,hlib71@example.net
Овчаренко,Святослава,Дмитрівна,Жінка,1945-03-21,Архітектор,місто Бершадь,"парк Гранатна, буд. 26, Звенигородка, 32751",537 74 61,leonsirobaba@example.com
Івасюк,Роксолана,Олексіївна,Жінка,1940-05-29,Програміст,селище Марганець,"провулок Прохоровська, буд. 751, Володимир-Волинський, 07877",058 182-19-76,ozhadan@example.com
Демиденко,Роксолана,Петрівна,Жінка,1962-10-07,Філолог,селище Нове Давидково,"проспект Штильова, буд. 47, Кипуче, 26604",+380 33 714-80-97,svitlana78@example.net
Носаченко,Аліна,Юріївна,Жінка,1962-06-26,Машиніст,місто Бібрка,"проспект Лінія 52-га, буд. 8, Ніжин, 95288",072 538 78 84,vira92@example.org
Вертипорох,Ганна,Дмитрівна,Жінка,1975-06-17,Парфюмер,село Татарбунари,"парк Керченська, буд. 60 кв. 50, Гуляйполе, 57379",+380 88 892-90-80,fedir00@example.com
Зінчук,Розалія,Сергіївна,Жінка,1951-09-11,Продюсер,місто Каховка,"провулок Івана Луценка, буд. 56 кв. 51, Багачеве, 60316",+380 (36) 873-53-13,vira84@example.net
Байрак,Марта,Арсеніївна,Жінка,2004-04-12,Письменник,місто Кропивницький,"шосе Флотський 1-й, буд. 201, Тлумач, 24295",+380 18 886 98 10,veniiamynteslia@example.net
Литвин,Валентина,Олександрівна,Жінка,1983-04-12,Гицель,місто Судак,"набережна Церковна, буд. 2 кв. 2, Дрогобич, 24472",+380 71 454-15-65,klavdiiapavlyk@example.com
Рябченко,Лілія,Володимирівна,Жінка,1997-06-08,Клавішник,місто Гнівань,"шосе Деревообробний 4-й, буд. 986 кв. 50, Родинське, 39059",692 37 63,antonilchenko@example.org
Швачка,Богуслава,Сергіївна,Жінка,1942-05-05,Графік,місто Калинівка,"площа Верстатобудівна, буд. 31 кв. 8, Євпаторія, 60835",645-71-46,ishamrai@example.org
Приходько,Пріска,Олександрівна,Жінка,1995-12-21,Слідчий,місто Мирноград,"набережна Парашутний, буд. 184, Білогірськ, 12593",+380 17 809-94-49,oleksa24@example.org
Кабаненко,Орися,Романівна,Жінка,1978-09-27,Лікар,селище Новий Калинів,"узвіз Ланжерон, буд. 5 кв. 04, Деражня, 38143",037 338 78 27,eieremenko@example.com
Деркач,Орися,Романівна,Жінка,1950-12-08,Золотар,хутір Ровеньки,"набережна Водопровідний 2-й, буд. 521, Вашківці, 59624",054 864 45 47,marko46@example.com
Фастенко,Лариса,Павлівна,Жінка,1987-04-23,Астрофізик,село Токмак,"проспект Тополиний, буд. 717 кв. 508, Добромиль, 17267",+380 (37) 279-04-26,odarka26@example.net
Ткаченко,Амалія,Сергіївна,Жінка,2004-08-04,Паблік рилейшнз,село Мерефа,"сквер Марка Крейна, буд. 3, Тараща, 90434",+380 64 517-66-22,demyd99@example.com
Ярош,Христина,Василівна,Жінка,1940-06-04,Бізнесмен,місто Кременчук,"провулок Осіння, буд. 948, Рудки, 16780",+380 92 786-37-14,anastasiiafranko@example.net
Павличенко,Галина,Юріївна,Жінка,1954-02-18,Державний службовець,хутір Алупка,"вулиця Сухолиманна, буд. 227 кв. 668, Гайсин, 44204",+380 (80) 739-92-68,skybaerika@example.com
Дараган,Вікторія,Максимівна,Жінка,1968-01-31,Дизайнер,село Самбір,"вулиця Гіацинтовий, буд. 5, Ясинувата, 99745",+380 91 232-73-10,iefremivasiuk@example.net
Ющенко,Марина,Степанівна,Жінка,1943-06-13,Єгер,селище Кодима,"вулиця Бузковий 1-й, буд. 95 кв. 40, Горішні Плавні, 68358",065 301-52-92,nestor10@example.com
Гоголь,Віолетта,Іванівна,Жінка,2008-03-04,Фольклорист,хутір Рубіжне,"сквер Травневий 4-й, буд. 787, Тисмениця, 74547",+380 75 545-67-43,mariia23@example.org
Рябченко,Марія,Максимівна,Жінка,2002-03-22,Кінорежисер,місто Жданівка,"площа Училищна, буд. 851, Карлівка, 81585",+380 06 982 18 06,tmedvedenko@example.org
Медведенко,Святослава,Романівна,Жінка,1983-11-11,Астрофізик,хутір Вільногірськ,"парк Оранжерейний, буд. 70 кв. 659, Зимогір'я, 36160",+380 78 033 76 52,varfolomii67@example.com
Ґерета,Одарка,Сергіївна,Жінка,1973-01-27,Мікробіолог,місто Тернопіль,"набережна Керченський 2-й, буд. 0, Златопіль, 53749",+380 (99) 931-78-83,baklanvasyl@example.org
Теліженко,Маруся,Романівна,Жінка,1961-04-19,Музикант,селище Щолкіне,"площа Байкал тупик, буд. 5, Кам'янське, 21729",049 420-13-72,wiarema@example.org
Чорновіл,Віолетта,Павлівна,Жінка,2002-04-04,Юрист,хутір Шахтарськ,"провулок Маріупольська, буд. 34 кв. 88, Люботин, 10298",+380 65 500 99 72,lkylymnyk@example.com
Архипенко,Юстина,Андріївна,Жінка,1977-09-06,Композитор,місто Новодружеськ,"площа Танфільєва, буд. 3 кв. 4, Молочанськ, 85874",+380 41 150 87 85,venedykt01@example.com
Орлик,Юстина,Євгенівна,Жінка,1985-03-03,Драматург,місто Радивилів,"вулиця Гоголя, буд. 0, Рубіжне, 75564",414 26 99,shtepafrants@example.org
Акименко,Анастасія,Павлівна,Жінка,1944-08-21,Ветеринар,селище Середина-Буда,"провулок Вапняний 2-й, буд. 6, Кілія, 75195",695-20-99,vivcharenkoonysym@example.net
Сагаль,Марʼяна,Романівна,Жінка,2000-02-22,Шериф,село Бровари,"набережна Академіка Корольова, буд. 889, Берестин, 20935",014 515-17-19,vfastenko@example.net
Христич,Анастасія,Арсеніївна,Жінка,1983-03-11,Водій,селище Старий Самбір,"парк Генуезька, буд. 968, Святогірськ, 31510",040 416 02 48,ustym79@example.org
Бандурка,Любов,Юріївна,Жінка,1970-07-04,Ґрунтознавець,селище Севастополь,"парк Текстильників, буд. 7, Хоростків, 24482",+380 22 677 28 66,stefanfomenko@example.org
Верхола,Едита,Романівна,Жінка,1963-10-03,Гінеколог,місто Хоростків,"сквер Обільний 1-й, буд. 54 кв. 78, Федорівка, 96459",811 16 62,evakhnii@example.net
